policy,gold_tier,predicted_tier,count
independent_step,economical,economical,367
independent_step,economical,balanced,315
independent_step,economical,strongest,7
independent_step,balanced,economical,23
independent_step,balanced,balanced,80
independent_step,balanced,strongest,8
independent_step,strongest,economical,1
independent_step,strongest,balanced,150
independent_step,strongest,strongest,19
stateful,economical,economical,394
stateful,economical,balanced,293
stateful,economical,strongest,2
stateful,balanced,economical,23
stateful,balanced,balanced,82
stateful,balanced,strongest,6
stateful,strongest,economical,1
stateful,strongest,balanced,158
stateful,strongest,strongest,11
